Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,File
Average,2377,0.2552612423404278,0.8841381811599852,-0.027379037196520455,0.8746582805450187,XGBR,Morgan,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.33555213448139565,0.8397193288246327,-0.09447696136155355,0.827540897046901,SVR,Morgan,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.33555213448139565,0.8397193288246327,-0.09447696136155355,0.827540897046901,SVR,Morgan,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.33555213448139565,0.8397193288246327,-0.09447696136155355,0.827540897046901,SVR,Morgan,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.3426174833704829,0.8347357626453411,0.003031727814709363,0.8281485760096612,RF,Both,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.33905653845886286,0.8366811436186607,-0.003786196448674721,0.8292456925978315,RF,Both,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.34024897465741233,0.8356464903164399,0.0017292021855617253,0.8287741589793484,RF,Both,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.30471943387474665,0.8564688711066925,-0.013410723662395835,0.8464546564009314,XGBR,Both,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.30471943387474665,0.8564688711066925,-0.013410723662395835,0.8464546564009314,XGBR,Both,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.30471943387474665,0.8564688711066925,-0.013410723662395835,0.8464546564009314,XGBR,Both,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,-0.05582349301147802,1.069712245829357,-0.23522377714893827,1.0399562075423079,SVR,Both,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,-0.05582349301147802,1.069712245829357,-0.23522377714893827,1.0399562075423079,SVR,Both,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,-0.05582349301147802,1.069712245829357,-0.23522377714893827,1.0399562075423079,SVR,Both,3,Monoamine_oxidase_A_CHEMBL1951.csv
