ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL1082979,4.58,c1ccc(CCNc2ccnc(N3CCSCC3)n2)cc1,False
CHEMBL1082980,4.69,CN1CCN(c2nccc(NCCc3ccccc3)n2)CC1,False
CHEMBL1082981,5.06,CC1CCN(c2nccc(NCCc3ccccc3)n2)CC1,False
CHEMBL1083054,5.0,c1ccc(-c2ccc(NCCCCCN3Cc4ccccc4CN3)nn2)cc1,False
CHEMBL1083055,4.89,CN(CCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,False
CHEMBL1083056,6.52,COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,False
CHEMBL1083057,6.13,CN(CCCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,False
CHEMBL1083058,4.19,c1ccc(CN2CCC(Nc3ccc(-c4ccccc4)nn3)CC2)cc1,False
CHEMBL1083063,5.6,CC(=O)Nc1cccc2n1cc(-c1cccc(OC(=O)N(C)C)c1)[n+]2C.[Cl-],False
CHEMBL1083064,6.46,CNC(=O)Oc1cccc(-c2cn3ccccc3[n+]2C)c1.[I-],False
CHEMBL1083065,8.1,COc1ccc2c(c1OC)C(=O)CC2CCC1CCN(Cc2ccccc2)CC1,False
CHEMBL1083066,6.94,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1C2,False
CHEMBL1083067,8.0,CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1C2,False
CHEMBL1083069,9.32,O=C1CNc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2C1,False
CHEMBL1083070,7.0,CCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,False
CHEMBL1083367,4.25,c1ccc(CN2CCC(CNc3ccc(-c4ccccc4)nn3)CC2)cc1,False
CHEMBL1083373,5.35,CNC(=O)Oc1cccc(-c2cn3c(NC(C)=O)cccc3[n+]2C)c1.[I-],False
CHEMBL1083374,8.52,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,False
CHEMBL1083375,7.24,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)[C@@H]1C2,False
CHEMBL1083379,7.0,CCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,False
CHEMBL1083488,8.6,c1ccc2c(NCCCCCCNc3c4c(nc5ncccc35)CCCCC4)c3c(nc2c1)CCCCC3,False
CHEMBL1083660,7.62,CN1CCCc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,False
CHEMBL1083661,7.23,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCCN2,False
CHEMBL1083662,7.27,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCCN2c1ccccc1,False
CHEMBL1083677,5.68,O=C1c2ccccc2CCC1CC1CCN(c2ccccc2)CC1,False
CHEMBL1083678,4.82,O=C1c2ccccc2CCCC1CC1CCN(c2ccccc2)CC1,False
CHEMBL1083789,6.5,NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1083790,6.88,NCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1083791,7.28,CN(C)CCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1083972,5.72,COC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,False
CHEMBL1083973,5.7,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCCCC3,False
CHEMBL1083976,6.4,CCCCCCNC(=O)Oc1cccc(CN(CCC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,False
CHEMBL1083977,6.77,CCCCCCNC(=O)Oc1cccc(CN(CCCOc2ccc3c(=O)c4ccccc4oc3c2)C(C)C)c1,False
CHEMBL1083982,8.24,COc1cc2c(cc1OC)C(=O)C(CC1CCN(c3ccccc3)CC1)C2,False
CHEMBL1083983,10.7,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1083984,10.22,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084090,7.38,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4cccnc4oc3c2)c1,False
CHEMBL1084091,6.6,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)ccoc3c2)c1,False
CHEMBL1084092,6.83,NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084093,6.75,NCCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084094,7.33,CN(C)CCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084095,7.15,CN(C)CCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084096,7.87,c1ccc2c(NCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,False
CHEMBL1084155,5.43,Cc1ccc2nc3c(c(Nc4ccccc4)c2c1)CCCC3,False
CHEMBL1084167,6.16,CC(=O)Nc1cccc2n1cc(-c1ccc(OC(=O)N(C)C)cc1)[n+]2C.[Cl-],False
CHEMBL1084210,5.26,c1ccc2c(CNc3ccnc(N4CCCC4)n3)cccc2c1,False
CHEMBL1084211,4.83,c1ccc2c(CNc3ccnc(N4CCOCC4)n3)cccc2c1,False
CHEMBL1084212,4.89,c1ccc2c(CNc3ccnc(N4CCSCC4)n3)cccc2c1,False
CHEMBL1084213,4.76,CN1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,False
CHEMBL1084250,5.7,COC(=O)c1cc2c(N)c3c(nc2nc1C)CCCCC3,False
CHEMBL1084254,5.83,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)N(c1ccccc1)CCC2,False
CHEMBL1084255,4.46,c1ccc(-c2ccc(NCCCN3CCc4ccccc4C3)nn2)cc1,False
CHEMBL1084256,8.66,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,False
CHEMBL1084257,4.96,CN(CCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,False
CHEMBL1084262,8.36,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,False
CHEMBL1084263,7.66,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,False
CHEMBL1084275,8.17,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1,False
CHEMBL1084276,6.68,CNC(=O)Oc1cccc(CN(C)CC#CCOc2ccc3c(=O)c4ccccc4oc3c2)c1,False
CHEMBL1084366,7.17,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,False
CHEMBL1084367,7.35,CN(C)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084368,6.58,CN(C)CCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,False
CHEMBL1084369,7.89,c1ccc2c(NCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,False
CHEMBL1084442,4.71,CNC(=O)Oc1ccc(-c2cn3ccccc3[n+]2C)cc1.[I-],False
CHEMBL1084517,5.75,COC(=O)c1cc2c(N)c3c(nc2nc1C)CCCCCC3,False
CHEMBL1084518,5.68,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,False
CHEMBL1084519,5.75,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCCCCC3,False
CHEMBL1084530,7.08,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,False
CHEMBL1084531,6.75,c1ccc2c(NCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,False
CHEMBL1084542,4.89,c1ccc(-c2ccc(NCN3CCCCC3)nc2)cc1,False
CHEMBL1084543,4.0,c1ccc(-c2cnc(NCN3CCCCC3)nc2)cc1,False
CHEMBL1084544,9.15,O=C(CCOCCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,False
CHEMBL1084545,8.52,O=C(CCOCCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,False
CHEMBL1084635,7.42,CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3C[C@@H]12,False
CHEMBL1084703,7.0,c1ccc(CN2CCC(CNc3nsc4ccccc34)CC2)cc1,False
CHEMBL1084709,4.57,Cc1cn2cc(C(N)=O)ccc2[n+]1C.[I-],False
CHEMBL1084774,6.58,c1ccc(NCCCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,False
CHEMBL1084775,8.0,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,False
CHEMBL1084776,6.12,Cc1ccc2c(Nc3ccccc3)c3c(nc2c1)CCCC3,False
CHEMBL1084777,6.77,Clc1ccc2c(Nc3ccccc3)c3c(nc2c1)CCCC3,False
CHEMBL1084784,4.77,CN(C)C(=O)Oc1ccc(-c2cn3ccccc3[n+]2C)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,False
CHEMBL1084785,5.0,CN(C)C(=O)Oc1ccc(-c2cn3c(C(F)(F)F)cccc3[n+]2C)cc1.[Cl-],False
CHEMBL1084786,4.24,c1ccc(-c2ncc(NCN3CCCCC3)nn2)cc1,False
CHEMBL1084787,4.27,c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1,False
CHEMBL1084788,4.22,c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1,False
CHEMBL1084789,4.33,c1ccc(C2=NNC(NCN3CCCCC3)=NC2)cc1,False
CHEMBL1084790,7.92,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,False
CHEMBL1084808,4.6,CN1CCN(c2nccc(NCc3ccccc3)n2)CC1,False
CHEMBL1084880,6.75,CCN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3C[C@@H]12,False
CHEMBL1084881,7.21,CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCC)[C@@H]1C2,False
CHEMBL1084882,6.3,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)[C@@H]1C2,False
CHEMBL1084883,7.89,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,False
CHEMBL1085011,6.26,CCCCCCNC(=O)Oc1ccc2c(c1)C1CCN(CCC)C1C2,False
CHEMBL1085017,5.8,O=[N+]([O-])c1ccc2nc3c(c(Nc4ccccc4)c2c1)CCCC3,False
CHEMBL1085018,5.32,O=[N+]([O-])c1ccc2c(Nc3ccccc3)c3c(nc2c1)CCCC3,False
