,Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,Train Set
0,Average,121,-0.31213106594810436,0.9222169825173211,0.059441646062271515,0.8532029035319535,RF,RDKit,2,Mono-Natural
0,Average,121,-0.005010725939065541,0.9152006666072567,0.04948001816239392,0.8810127453996323,RF,RDKit,3,Mono-Natural
0,Average,121,-0.40080435977551543,0.9314651848211295,0.04466848511166047,0.8873889731952564,XGBR,RDKit,1,Mono-Natural
0,Average,121,-0.37735268251466964,0.9805604130487098,0.0014449694054759043,0.8981516722656668,XGBR,RDKit,2,Mono-Natural
0,Average,121,-0.274849835960539,0.9874543858610828,-0.005008013142479753,0.975032632821258,XGBR,RDKit,3,Mono-Natural
0,Average,121,-0.12238899445132215,0.9471765391475037,-0.16182438656194967,0.9018179329104703,SVR,RDKit,1,Mono-Natural
0,Average,121,-0.1178452175664823,0.9587661823673559,-0.17657861976066844,0.9161608221283387,SVR,RDKit,2,Mono-Natural
0,Average,121,-0.10401847866331212,0.9559858179663021,-0.17235652011530594,0.927209917996878,SVR,RDKit,3,Mono-Natural
0,Average,121,-0.0696121318828239,0.900048968157483,-0.039197910256409604,0.8615048420536999,RF,Morgan,1,Mono-Natural
0,Average,121,-0.07662348155296309,0.8956723263463928,-0.040413996794871204,0.8231729273101813,RF,Morgan,2,Mono-Natural
0,Average,121,-0.1766161560508874,0.9148855028071441,-0.0404848691239307,0.8604090399936857,RF,Morgan,3,Mono-Natural
0,Average,121,-0.3210217247220862,0.9668757414544341,0.019066476823937223,0.9268581321441713,XGBR,Morgan,1,Mono-Natural
0,Average,121,-0.23543072268403167,0.8874834588438626,-0.0026107134859785627,0.8530894253511532,XGBR,Morgan,2,Mono-Natural
0,Average,121,-0.2005699462458713,0.9022872110379275,0.0023925530564072274,0.8514126566432016,XGBR,Morgan,3,Mono-Natural
0,Average,121,0.03412587240213535,0.8810885096477261,-0.12430165974831076,0.8450108023674237,SVR,Morgan,1,Mono-Natural
0,Average,121,-0.014644957931540891,0.8834476690074687,-0.13672687836136174,0.839212570269839,SVR,Morgan,2,Mono-Natural
0,Average,121,0.02217922781236261,0.8832342448333295,-0.12985216480248796,0.8399595445741539,SVR,Morgan,3,Mono-Natural
0,Average,121,-0.08762668427564493,0.9089213628418312,0.01025381837606911,0.8793926512954633,RF,Both,1,Mono-Natural
0,Average,121,-0.09635046095712732,0.9218928232841973,0.007480770299145958,0.877705151011425,RF,Both,2,Mono-Natural
0,Average,121,-0.04901235859787926,0.8895454007887083,0.007569336691087586,0.8538941137255807,RF,Both,3,Mono-Natural
0,Average,121,-0.486560696066123,0.9875636333486948,-0.04831460828047529,0.8958683022563818,XGBR,Both,1,Mono-Natural
0,Average,121,-0.15187521857884456,0.9453483593754278,0.008772581344995797,0.8729429903851151,XGBR,Both,2,Mono-Natural
0,Average,121,-0.15521738371282287,0.9484968448590807,0.015245498408619195,0.9205430744867306,XGBR,Both,3,Mono-Natural
0,Average,121,-0.02826656060570478,0.8879824787057808,-0.13867828033226876,0.8366021739326692,SVR,Both,1,Mono-Natural
0,Average,121,0.07745079397537036,0.8607591572657679,-0.1368316396390465,0.8363283086195539,SVR,Both,2,Mono-Natural
0,Average,121,-0.056931088271373574,0.9044720460487193,-0.1332002542516316,0.8581944754198855,SVR,Both,3,Mono-Natural
